,State,ID,Duration,Abs,thumb_flex,index_flex,middle_flex,ring_flex,pinky_flex,thumb_extend,index_extend,middle_extend,ring_extend,pinky_extend,wrist_flex,wrist_extend,wrist_adduction,wrist_abduction,wrist_pronation
111,Indication,8,2,151,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0.5
112,Neutral,0,1,152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
113,Neutral,0,1,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
114,Neutral,0,1,154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
115,ThumbFingers,6,2,156,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1.0
116,Neutral,0,1,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
117,Neutral,0,1,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
118,Close,1,2,160,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1.0
119,Neutral,0,1,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
120,Neutral,0,1,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
121,Open,2,2,164,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1.0
122,Neutral,0,1,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
123,Neutral,0,1,166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
124,Pinch,7,2,168,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1.0
125,Neutral,0,1,169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
126,Neutral,0,1,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
127,Indication,8,2,172,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1.0
128,Neutral,0,1,173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
129,Neutral,0,1,174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
130,Neutral,0,1,175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
131,ThumbFingers,6,2,177,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0.5
132,Neutral,0,1,178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
133,Neutral,0,1,179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
134,Close,1,2,181,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0.5
135,Neutral,0,1,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
136,Neutral,0,1,183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
137,Open,2,2,185,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0.5
138,Neutral,0,1,186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
139,Neutral,0,1,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
140,Pinch,7,2,189,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0.5
141,Neutral,0,1,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
142,Neutral,0,1,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
143,Indication,8,2,193,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0.5
144,Neutral,0,1,194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
145,Neutral,0,1,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
146,Neutral,0,1,196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
147,ThumbFingers,6,2,198,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1.0
148,Neutral,0,1,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
149,Neutral,0,1,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
150,Close,1,2,202,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1.0
151,Neutral,0,1,203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
152,Neutral,0,1,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
153,Open,2,2,206,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1.0
154,Neutral,0,1,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
155,Neutral,0,1,208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
156,Pinch,7,2,210,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1.0
157,Neutral,0,1,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
158,Neutral,0,1,212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
159,Indication,8,2,214,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1.0
160,Neutral,0,1,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
161,Neutral,0,1,216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
162,Neutral,0,1,217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
163,ThumbFingers,6,2,219,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0.5
164,Neutral,0,1,220,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
165,Neutral,0,1,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
166,Close,1,2,223,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0.5
167,Neutral,0,1,224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
168,Neutral,0,1,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
169,Open,2,2,227,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0.5
170,Neutral,0,1,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
171,Neutral,0,1,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
172,Pinch,7,2,231,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0.5
173,Neutral,0,1,232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
174,Neutral,0,1,233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
175,Indication,8,2,235,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0.5
176,Neutral,0,1,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
177,Neutral,0,1,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
178,Neutral,0,1,238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
179,ThumbFingers,6,2,240,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1.0
180,Neutral,0,1,241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
181,Neutral,0,1,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
182,Close,1,2,244,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1.0
183,Neutral,0,1,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
184,Neutral,0,1,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
185,Open,2,2,248,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1.0
186,Neutral,0,1,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
187,Neutral,0,1,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
188,Pinch,7,2,252,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1.0
189,Neutral,0,1,253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
190,Neutral,0,1,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
191,Indication,8,2,256,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1.0
192,Neutral,0,1,257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
193,Neutral,0,1,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
194,Neutral,0,1,259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
195,ThumbFingers,6,2,261,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0.5
196,Neutral,0,1,262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
197,Neutral,0,1,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
198,Close,1,2,265,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0.5
199,Neutral,0,1,266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
200,Neutral,0,1,267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
201,Open,2,2,269,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0.5
202,Neutral,0,1,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
203,Neutral,0,1,271,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
204,Pinch,7,2,273,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0.5
205,Neutral,0,1,274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
206,Neutral,0,1,275,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
207,Indication,8,2,277,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0.5
208,Neutral,0,1,278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
209,Neutral,0,1,279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
210,Neutral,0,1,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
211,ThumbFingers,6,2,282,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1.0
212,Neutral,0,1,283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
213,Neutral,0,1,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
214,Close,1,2,286,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1.0
215,Neutral,0,1,287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
216,Neutral,0,1,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
217,Open,2,2,290,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1.0
218,Neutral,0,1,291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
219,Neutral,0,1,292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
220,Pinch,7,2,294,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1.0
221,Neutral,0,1,295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
222,Neutral,0,1,296,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
223,Indication,8,2,298,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1.0
224,Neutral,0,1,299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
225,Neutral,0,1,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
226,Neutral,0,1,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
227,ThumbFingers,6,2,303,1,0,0,0,0,0,1,1,1,1,0,0,0,0,0.5
228,Neutral,0,1,304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
229,Neutral,0,1,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
230,Close,1,2,307,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0.5
231,Neutral,0,1,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
232,Neutral,0,1,309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
233,Open,2,2,311,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0.5
234,Neutral,0,1,312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
235,Neutral,0,1,313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
236,Pinch,7,2,315,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0.5
237,Neutral,0,1,316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
238,Neutral,0,1,317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
239,Indication,8,2,319,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0.5
240,Neutral,0,1,320,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
241,Neutral,0,1,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
242,Neutral,0,1,322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
243,ThumbFingers,6,2,324,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1.0
244,Neutral,0,1,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
245,Neutral,0,1,326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
246,Close,1,2,328,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1.0
247,Neutral,0,1,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
248,Neutral,0,1,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
249,Open,2,2,332,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1.0
250,Neutral,0,1,333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
251,Neutral,0,1,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
252,Pinch,7,2,336,1,1,0,0,0,0,0,1,1,1,0,0,0,0,1.0
253,Neutral,0,1,337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
254,Neutral,0,1,338,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
255,Indication,8,2,340,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1.0
256,Neutral,0,1,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
257,Finish,-1,1,342,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0
258,Finish,-1,1,343,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1.0
259,Finish,-1,1,344,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0
260,Finish,-1,1,345,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1.0
261,Finish,-1,1,346,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1.0
262,Finish,-1,1,347,0,1,1,1,1,0,0,0,0,0,0,1,0,0,1.0
